x,y,z,nx,ny,nz,S,pt
0,0,0,0.220752,-0.0896377,-0.971202,2.32267e+27,1
1,0,0,0.618441,-0.382884,-0.686244,3.64287,1
2,0,0,0.219716,-0.591311,-0.775936,1.05343,1
3,0,0,0.473728,-0.52773,-0.705041,1.03668,1
4,0,0,-0.3615,0.684981,0.63255,0.853991,1
5,0,0,-0.110588,0.0938102,0.989429,0.874926,1
6,0,0,0.701486,-0.511233,-0.496547,0.965854,1
7,0,0,-0.355629,0.289173,0.888767,0.907643,1
8,0,0,0.0624028,-0.328987,-0.942271,0.839314,1
9,0,0,-0.0353475,0.0547087,0.997877,0.898151,1
10,0,0,0.499767,-0.396636,-0.770008,0.916465,1
11,0,0,0.722253,-0.308602,-0.618964,0.925744,1
12,0,0,0.542685,-0.392833,-0.742412,0.966854,1
13,0,0,-0.440699,0.408734,0.7992,1.03926,1
14,0,0,0.306002,-0.283923,-0.908708,0.987601,1
15,0,0,-0.816224,0.347878,0.461259,0.937547,1
16,0,0,-0.87985,0.0789181,0.468654,0.891219,1
17,0,0,0.577549,-0.0245218,-0.815988,0.837913,1
18,0,0,0.236644,-0.0691177,-0.969135,0.935615,1
19,0,0,-0.394065,0.143521,0.907808,0.90267,1
0,1,0,-0.396867,0.652432,0.645623,0.851965,1
1,1,0,0.291405,-0.398288,-0.869741,0.983811,1
2,1,0,-0.400005,0.468519,0.787709,0.992469,1
3,1,0,-0.362694,0.743814,0.561421,0.97482,1
4,1,0,-0.824669,0.557109,0.0977297,0.975237,1
5,1,0,-0.581426,0.51286,0.6316,0.846621,1
6,1,0,-0.442757,0.187626,0.876791,0.92825,1
7,1,0,-0.169787,0.38807,0.905856,0.98853,1
8,1,0,-0.495294,0.467128,0.732445,0.99387,1
9,1,0,-0.456385,0.267167,0.848725,0.896467,1
10,1,0,-0.665782,0.384743,0.639302,0.98685,1
11,1,0,0.875517,-0.0948688,-0.473783,0.787644,1
12,1,0,0.420599,-0.28357,-0.861791,0.935668,1
13,1,0,-0.168509,0.423986,0.889854,0.990063,1
14,1,0,-0.55901,0.214762,0.800866,0.994885,1
15,1,0,0.670521,-0.447232,-0.591933,0.981375,1
16,1,0,0.68638,-0.438722,-0.580005,0.94246,1
17,1,0,0.323342,-0.180346,-0.928938,0.901467,1
18,1,0,-0.425252,0.219324,0.878099,0.931609,1
19,1,0,0.390081,-0.121528,-0.912726,0.875793,1
0,2,0,-0.151315,0.620149,0.769753,1.02597,1
1,2,0,0.339795,-0.808137,-0.481097,1.00951,1
2,2,0,0.346529,-0.784026,-0.514996,1.00777,1
3,2,0,-0.548558,0.572396,0.609465,0.953197,1
4,2,0,-0.622149,0.508517,0.595266,0.926125,1
5,2,0,-0.723195,0.283261,0.629883,1.0105,1
6,2,0,0.384456,-0.594494,-0.706237,0.894077,1
7,2,0,0.18409,-0.434959,-0.881432,1.03389,1
8,2,0,0.154062,-0.428274,-0.890419,0.927574,1
9,2,0,-0.427514,-0.171557,0.887581,0.886557,1
10,2,0,0.614998,-0.163537,-0.771384,0.946895,1
11,2,0,0.355376,-0.0294159,-0.93426,0.900473,1
12,2,0,-0.538285,0.194359,0.820045,0.975093,1
13,2,0,-0.518991,0.237074,0.821245,0.987693,1
14,2,0,0.502762,-0.5079,-0.699477,0.865042,1
15,2,0,-0.39911,0.646357,0.650334,0.940578,1
16,2,0,0.448156,-0.652369,-0.611205,1.00273,1
17,2,0,0.26536,-0.461059,-0.846764,1.04455,1
18,2,0,0.415033,-0.327587,-0.848784,0.935228,1
19,2,0,-0.3904,0.718594,0.575508,0.915185,1
0,3,0,-0.165845,0.352061,0.921167,1.02167,1
1,3,0,-0.550204,0.473475,0.68782,0.926601,1
2,3,0,0.577225,-0.399057,-0.712436,0.973962,1
3,3,0,-0.0126594,-0.531096,-0.847217,1.01573,1
4,3,0,-0.376481,0.464403,0.801619,0.96385,1
5,3,0,-0.719191,0.233706,0.654329,0.814966,1
6,3,0,-0.55249,-0.169505,0.816102,0.799921,1
7,3,0,-0.661526,0.447456,0.601802,0.854101,1
8,3,0,-0.413289,0.018982,0.910402,0.903707,1
9,3,0,-0.780688,-0.066278,0.621396,0.815792,1
10,3,0,0.688034,-0.379456,-0.618565,0.891783,1
11,3,0,0.330376,0.139774,-0.933443,0.869826,1
12,3,0,-0.130646,0.441146,0.887875,0.825716,1
13,3,0,0.129401,-0.368156,-0.920715,0.977375,1
14,3,0,0.169753,-0.087378,-0.981605,0.954961,1
15,3,0,-0.0680148,0.315432,0.946508,0.938322,1
16,3,0,0.729081,-0.28468,-0.622414,0.911418,1
17,3,0,-0.350843,0.526155,0.774642,1.00902,1
18,3,0,-0.361535,0.391399,0.846227,1.03893,1
19,3,0,0.634756,-0.612831,-0.470663,0.938667,1
0,4,0,-0.397632,0.628621,0.668375,1.03087,1
1,4,0,-0.299829,0.74068,0.601245,0.941327,1
2,4,0,0.29645,-0.75256,-0.588023,0.919989,1
3,4,0,-0.0299659,0.584536,0.810814,0.916777,1
4,4,0,0.258281,-0.418033,-0.870941,0.777425,1
5,4,0,0.429388,-0.884623,-0.18185,0.843456,1
6,4,0,0.620113,-0.736414,-0.27047,0.744821,1
7,4,0,-0.774716,0.328684,0.540168,0.927182,1
8,4,0,0.319662,-0.559402,-0.764778,0.894713,1
9,4,0,-0.367207,-0.192623,0.909976,0.854953,1
10,4,0,-0.44794,0.625247,0.639075,0.916653,1
11,4,0,-0.252284,0.355679,0.899914,0.879204,1
12,4,0,0.064949,-0.227243,0.97167,0.920292,1
13,4,0,0.102853,0.0615126,0.992793,0.857983,1
14,4,0,-0.432334,0.35571,0.828588,0.943041,1
15,4,0,-0.204491,0.432852,0.877965,0.96807,1
16,4,0,-0.768962,0.287512,0.570994,0.901696,1
17,4,0,-0.436127,0.308211,0.845458,1.02344,1
18,4,0,-0.50719,0.486288,0.711535,0.928149,1
19,4,0,-0.360948,0.789296,0.496718,1.02007,1
0,5,0,0.284806,-0.63684,-0.716464,0.906423,1
1,5,0,0.34159,0.935207,0.0932965,0.921806,1
2,5,0,0.376598,-0.921128,-0.0984771,0.879683,1
3,5,0,-0.583754,0.805591,0.101269,0.901904,1
4,5,0,-0.508094,0.857525,0.0805638,0.874052,1
5,5,0,0.695311,-0.556162,-0.455221,0.944929,1
6,5,0,-0.4161,0.877781,0.237404,0.876734,1
7,5,0,0.165421,-0.609192,-0.775578,0.824263,1
8,5,0,-0.442616,0.102874,0.890791,0.85824,1
9,5,0,-0.409994,-0.038456,0.911277,0.891729,1
10,5,0,-0.00909822,0.642715,0.766052,0.954638,1
11,5,0,-0.465321,0.100085,0.879465,0.94058,1
12,5,0,0.189806,-0.133132,-0.972754,0.901344,1
13,5,0,0.457237,-0.0325558,-0.888749,0.959839,1
14,5,0,-0.470145,0.205741,0.858274,1.00211,1
15,5,0,0.370954,-0.453276,-0.810515,0.981827,1
16,5,0,0.306863,-0.761104,-0.571451,0.958685,1
17,5,0,0.502535,-0.554984,-0.662912,1.00145,1
18,5,0,-0.507087,0.302835,0.806941,1.02306,1
19,5,0,0.49623,-0.525083,-0.691407,1.0441,1
0,6,0,0.63171,-0.37222,-0.679996,0.992638,1
1,6,0,0.00991806,-0.613868,-0.789346,0.856048,1
2,6,0,0.0377591,-0.775959,-0.629652,0.920701,1
3,6,0,-0.2226,0.855729,0.467095,0.927486,1
