x,y,z,nx,ny,nz,S,pt
0,0,0,0.831348,-0.174603,0.527612,0.659806,1
1,0,0,0.690968,-0.721841,-0.0388413,0.734076,1
2,0,0,-0.710056,0.663729,0.235126,0.820172,1
3,0,0,0.926061,-0.331414,-0.180487,0.583962,1
4,0,0,-0.783493,-0.597656,-0.170135,0.490083,1
5,0,0,-0.816596,0.498277,-0.291359,0.474283,1
6,0,0,-0.449147,0.814568,-0.367077,0.702678,1
7,0,0,0.694782,-0.015914,0.719044,0.740558,1
8,0,0,0.471356,-0.881888,0.00981433,0.550252,1
9,0,0,0.81727,-0.463581,-0.342291,0.294603,1
10,0,0,-0.721394,-0.149838,-0.676121,0.548806,1
11,0,0,-0.680979,0.402437,-0.611811,0.525973,1
12,0,0,0.82703,0.0895615,0.554978,0.810524,1
13,0,0,0.247986,-0.522848,0.815557,0.569582,1
14,0,0,0.260511,-0.961414,0.0884179,0.707348,1
15,0,0,0.371104,-0.919431,0.13011,0.688554,1
16,0,0,0.922625,-0.0253275,0.384865,0.561349,1
17,0,0,-0.958312,-0.0189495,-0.285096,0.463637,1
18,0,0,-0.326397,-0.840126,0.43319,0.507343,1
19,0,0,-0.233002,0.617907,-0.750933,0.649051,1
0,1,0,-0.731111,0.337583,-0.592887,0.81377,1
1,1,0,0.803432,-0.228933,0.549624,0.75565,1
2,1,0,-0.7028,0.520189,-0.485258,0.828469,1
3,1,0,-0.79555,0.286652,-0.53379,0.573205,1
4,1,0,-0.682072,0.364736,-0.633834,0.591935,1
5,1,0,-0.0713981,0.832279,-0.54974,0.739648,1
6,1,0,-0.535,0.711643,-0.455344,0.872816,1
7,1,0,-0.323323,0.708808,-0.626939,0.732679,1
8,1,0,-0.796741,0.474526,-0.374203,0.554047,1
9,1,0,-0.382972,0.171678,0.907667,0.431032,1
10,1,0,0.971292,-0.16846,0.16797,0.385376,1
11,1,0,0.479911,-0.433167,0.762923,0.655832,1
12,1,0,-0.68851,0.559218,-0.461767,0.71022,1
13,1,0,-0.37669,0.860693,-0.342509,0.697941,1
14,1,0,0.667242,-0.744247,0.0297541,0.796615,1
15,1,0,-0.347521,0.405196,-0.845604,0.657469,1
16,1,0,0.533333,-0.222458,0.81613,0.488918,1
17,1,0,-0.954895,-0.264208,-0.135538,0.486283,1
18,1,0,0.795724,-0.245175,0.553816,0.611678,1
19,1,0,-0.815705,0.337703,-0.469663,0.824845,1
0,2,0,-0.553413,0.678552,-0.483013,0.811944,1
1,2,0,0.612183,-0.788971,0.0525004,0.650453,1
2,2,0,-0.715993,0.588618,-0.375344,0.714226,1
3,2,0,0.356118,0.0428501,0.933458,0.610063,1
4,2,0,0.772251,-0.536,0.341076,0.714891,1
5,2,0,0.118107,-0.677814,0.725685,0.772824,1
6,2,0,0.078049,-0.785502,0.613917,0.86702,1
7,2,0,0.293257,-0.751985,0.590355,0.758457,1
8,2,0,0.689818,0.0360111,0.723086,0.63581,1
9,2,0,0.2278,-0.36366,-0.903249,0.225261,1
10,2,0,-0.958459,0.12739,-0.255201,0.423258,1
11,2,0,0.440052,0.580893,0.684776,0.581835,1
12,2,0,-0.53628,0.735566,-0.41394,0.740776,1
13,2,0,-0.572753,0.582271,-0.576987,0.798963,1
14,2,0,0.245392,-0.968779,-0.0353408,0.564821,1
15,2,0,0.226457,-0.430663,0.87364,0.676119,1
16,2,0,0.521971,-0.251934,0.814908,0.677126,1
17,2,0,0.0811075,-0.815405,0.57318,0.589528,1
18,2,0,0.364171,-0.573275,0.733986,0.743449,1
19,2,0,-0.134393,0.818413,-0.558694,0.662863,1
0,3,0,-0.586309,0.27807,-0.760867,0.782744,1
1,3,0,-0.829118,0.22623,-0.511256,0.755541,1
2,3,0,-0.479207,0.834359,-0.272406,0.705522,1
3,3,0,-0.182134,-0.772618,0.608184,0.579376,1
4,3,0,0.5228,-0.466246,0.713649,0.668781,1
5,3,0,-0.0035426,0.00290457,0.99999,0.554305,1
6,3,0,0.767446,-0.453225,0.453447,0.661481,1
7,3,0,-0.7956,0.286447,-0.533824,0.79996,1
8,3,0,-0.513169,0.161943,-0.842871,0.627865,1
9,3,0,0.438955,-0.81537,-0.377477,0.387447,1
10,3,0,0.796412,-0.215485,0.565061,0.427226,1
11,3,0,-0.709324,0.201521,-0.675462,0.650541,1
12,3,0,-0.255333,0.523275,-0.813012,0.835482,1
13,3,0,0.149546,-0.928401,0.340159,0.581603,1
14,3,0,-0.137541,-0.857016,-0.496594,0.197824,1
15,3,0,-0.486502,-0.241002,-0.839782,0.57682,1
16,3,0,0.235161,-0.779271,0.580893,0.615139,1
17,3,0,-0.0729509,0.658958,-0.748634,0.843917,1
18,3,0,0.527084,-0.452142,0.719548,0.709658,1
19,3,0,-0.0542874,0.590672,-0.805083,0.62163,1
0,4,0,-0.597439,0.611019,-0.519348,0.772405,1
1,4,0,-0.942182,0.331098,0.0516509,0.824903,1
2,4,0,-0.884664,0.383926,-0.264519,0.643984,1
3,4,0,0.282523,-0.850018,0.444579,0.747344,1
4,4,0,0.150647,-0.762577,0.629111,0.512042,1
5,4,0,-0.37765,-0.00926941,0.925902,0.426475,1
6,4,0,0.293193,-0.161043,0.942392,0.519458,1
7,4,0,-0.132,0.8979,-0.419942,0.729119,1
8,4,0,0.145758,-0.420122,0.895685,0.746232,1
9,4,0,-0.503596,-0.247583,-0.827704,0.20455,1
10,4,0,0.345227,-0.849116,-0.399775,0.29951,1
11,4,0,-0.983631,0.0347683,-0.176807,0.453213,1
12,4,0,0.455088,-0.49494,0.740223,0.625292,1
13,4,0,0.296161,-0.484222,0.823297,0.736996,1
14,4,0,0.913834,-0.381349,0.139569,0.405305,1
15,4,0,0.120217,-0.789319,0.6021,0.590942,1
16,4,0,-0.0841525,0.258764,-0.962268,0.77041,1
17,4,0,-0.185764,0.982335,-0.0225562,0.504953,1
18,4,0,0.326368,-0.764034,-0.556539,0.530865,1
19,4,0,0.516901,-0.854741,0.0472278,0.687189,1
0,5,0,-0.383954,0.727542,-0.568561,0.869403,1
1,5,0,-0.695603,0.594114,-0.403937,0.707827,1
2,5,0,0.0463311,0.85758,-0.51226,0.522062,1
3,5,0,0.0850224,-0.978283,0.189035,0.728922,1
4,5,0,0.483711,-0.873954,0.0472061,0.785887,1
5,5,0,0.734916,-0.672382,-0.0883266,0.490928,1
6,5,0,-0.0460045,0.104365,-0.993474,0.622306,1
7,5,0,-0.824452,0.114643,-0.554199,0.630523,1
8,5,0,0.0619673,-0.298826,0.952294,0.771027,1
9,5,0,-0.597721,0.465609,-0.652639,0.788481,1
10,5,0,-0.266626,0.450973,-0.851783,0.496653,1
11,5,0,-0.877988,-0.253404,0.406108,0.587314,1
12,5,0,-0.877816,-0.0589499,-0.475356,0.521042,1
13,5,0,0.397412,-0.0889006,0.913324,0.695439,1
14,5,0,-0.293216,-0.276822,0.915092,0.44773,1
15,5,0,0.252743,0.762368,-0.595749,0.596566,1
16,5,0,0.442946,-0.747911,0.494396,0.707548,1
17,5,0,0.742844,-0.642377,0.188507,0.631422,1
18,5,0,0.115737,-0.41516,0.902356,0.539594,1
19,5,0,-0.666949,0.742088,0.0669661,0.79169,1
0,6,0,0.552665,-0.640279,0.533484,0.884829,1
1,6,0,-0.367543,0.860422,-0.352968,0.610485,1
2,6,0,-0.897112,0.427881,0.110041,0.406739,1
3,6,0,0.834044,-0.412978,0.365815,0.6019,1
4,6,0,0.577001,-0.669095,0.468383,0.587142,1
5,6,0,0.880513,-0.403924,0.248075,0.685634,1
6,6,0,-0.121232,0.726045,-0.676876,0.64444,1
7,6,0,-0.73485,0.635852,-0.235982,0.695252,1
8,6,0,-0.44643,0.152677,-0.881697,0.707897,1
9,6,0,-0.116124,0.322398,-0.939454,0.79461,1
10,6,0,-0.267507,0.81669,-0.51133,0.761836,1
11,6,0,0.505343,-0.278701,0.816673,0.507946,1
12,6,0,-0.904873,-0.423866,0.0392708,0.517548,1
13,6,0,0.272919,0.0978792,0.957045,0.491266,1
14,6,0,-0.773992,0.433064,-0.461944,0.508743,1
15,6,0,0.785836,-0.347592,0.511509,0.715801,1
16,6,0,-0.65323,0.329633,-0.681639,0.703521,1
17,6,0,-0.579554,0.499664,-0.643781,0.852459,1
18,6,0,-0.174086,0.811312,-0.558092,0.811847,1
19,6,0,-0.335772,0.830691,-0.444083,0.769064,1
0,7,0,0.341358,-0.636757,0.691386,0.758096,1
1,7,0,-0.11191,-0.979954,0.164823,0.51194,1
2,7,0,0.423037,0.59658,0.682006,0.420433,1
3,7,0,-0.267934,0.958152,-0.10078,0.243191,1
4,7,0,-0.833094,-0.501162,-0.234073,0.231324,1
5,7,0,0.703036,-0.432785,0.564302,0.596303,1
6,7,0,0.281139,-0.784152,0.553233,0.770408,1
7,7,0,0.675513,-0.0959301,0.731081,0.709464,1
8,7,0,0.505289,-0.543507,0.670286,0.928983,1
9,7,0,-0.66015,0.440412,-0.608473,0.77202,1
10,7,0,0.657291,-0.727113,0.198181,0.694088,1
11,7,0,-0.603281,0.220092,-0.766559,0.397889,1
12,7,0,-0.389578,-0.870022,-0.302142,0.296591,1
13,7,0,0.595155,-0.800546,0.0701208,0.313934,1
14,7,0,0.727826,-0.60654,0.319967,0.605967,1
15,7,0,0.800111,0.014414,0.599679,0.864288,1
16,7,0,0.63414,-0.155634,0.757393,0.732917,1
17,7,0,-0.669914,0.213045,-0.711215,0.7457,1
18,7,0,0.124083,-0.919894,0.372019,0.7368,1
19,7,0,0.485287,-0.704807,0.517439,0.826103,1
0,8,0,-0.279767,0.80739,-0.519472,0.694014,1
1,8,0,-0.326776,0.365996,-0.871358,0.588805,1
2,8,0,-0.229947,-0.630526,0.741324,0.447384,1
3,8,0,-0.0497302,0.0525705,-0.997378,0.486578,1
4,8,0,0.0155513,0.433074,0.901224,0.566153,1
5,8,0,0.574892,-0.366469,0.731574,0.710587,1
6,8,0,-0.862024,0.492934,-0.118031,0.671868,1
7,8,0,0.0196259,0.929924,-0.367227,0.664572,1
8,8,0,-0.326895,0.496968,-0.803842,0.899216,1
9,8,0,0.487148,-0.60342,0.631325,0.598974,1
10,8,0,-0.795904,0.565608,0.215924,0.573577,1
11,8,0,0.517615,-0.708125,-0.480243,0.405101,1
12,8,0,-0.0234141,-0.658118,-0.752551,0.385236,1
13,8,0,0.492538,0.847832,0.196437,0.260773,1
14,8,0,0.53371,-0.213575,0.818254,0.622471,1
15,8,0,-0.98295,0.183309,-0.0143706,0.592897,1
16,8,0,-0.907331,-0.309142,0.284924,0.523397,1
17,8,0,0.621833,-0.745006,0.241432,0.570865,1
18,8,0,-0.73619,0.674911,0.0501874,0.882591,1
19,8,0,0.412451,-0.856429,0.310504,0.787834,1
0,9,0,-0.663992,0.678908,-0.313366,0.794769,1
1,9,0,-0.603224,0.657767,-0.451068,0.687024,1
2,9,0,0.629685,-0.160732,0.760041,0.748145,1
3,9,0,-0.401734,-0.11197,-0.908885,0.873675,1
4,9,0,0.299373,-0.121408,0.94638,0.762343,1
5,9,0,0.552132,-0.348305,0.757518,0.841758,1
6,9,0,-0.659194,0.0661673,-0.749056,0.691511,1
7,9,0,-0.374337,0.60475,-0.702958,0.603918,1
8,9,0,0.0845784,-0.717072,0.691848,0.785148,1
9,9,0,0.0737481,0.98895,-0.128606,0.734744,1
10,9,0,-0.381418,0.371421,-0.846503,0.578274,1
11,9,0,-0.723015,0.664607,-0.188536,0.480635,1
12,9,0,0.141942,0.181587,-0.973077,0.328185,1
13,9,0,0.076086,-0.843296,-0.532036,0.125022,1
14,9,0,-0.701007,0.310076,-0.642217,0.51566,1
15,9,0,0.827692,-0.533345,0.174552,0.682675,1
16,9,0,0.359744,-0.724724,0.587674,0.633411,1
17,9,0,-0.908302,0.06899,-0.412587,0.745672,1
18,9,0,-0.707272,0.706917,-0.0058537,0.647869,1
19,9,0,0.698238,-0.714745,0.0400407,0.930785,1
0,10,0,0.841628,-0.532599,-0.0894447,0.712428,1
1,10,0,0.876529,-0.338281,0.342437,0.535194,1
2,10,0,0.211346,-0.142997,0.966894,0.83074,1
3,10,0,0.474755,-0.205386,0.855818,0.56451,1
4,10,0,0.623212,-0.489808,0.609668,0.773152,1
5,10,0,0.754196,-0.306054,0.580964,0.586172,1
6,10,0,0.466077,-0.138855,0.87378,0.706721,1
7,10,0,-0.403538,0.650859,-0.643071,0.84287,1
8,10,0,-0.457588,0.42371,-0.781718,0.73211,1
9,10,0,0.590509,-0.563571,0.577656,0.62491,1
10,10,0,0.28849,-0.790155,0.540767,0.779234,1
11,10,0,-0.161096,0.488195,-0.857737,0.551766,1
12,10,0,0.955231,-0.21427,0.204012,0.451667,1
