x,y,z,nx,ny,nz,S,pt
0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0
2,0,0,0,0,1,1,0
3,0,0,0,0,1,1,0
4,0,0,0,0,1,1,0
5,0,0,0,0,1,1,0
6,0,0,0,0,1,1,0
7,0,0,0,0,1,1,0
8,0,0,0,0,1,1,0
9,0,0,0,0,1,1,0
10,0,0,0,0,1,1,0
11,0,0,0,0,1,1,0
12,0,0,0,0,1,1,0
13,0,0,0,0,1,1,0
14,0,0,0,0,1,1,0
15,0,0,0,0,1,1,0
16,0,0,0,0,1,1,0
17,0,0,0,0,1,1,0
18,0,0,0,0,1,1,0
19,0,0,0,0,1,1,0
0,1,0,0,0,1,1,0
1,1,0,0,0,1,1,0
2,1,0,0,0,1,1,0
3,1,0,0,0,1,1,0
4,1,0,0,0,1,1,0
5,1,0,0,0,1,1,0
6,1,0,0,0,1,1,0
7,1,0,0,0,1,1,0
8,1,0,0,0,1,1,0
9,1,0,0,0,1,1,0
10,1,0,0,0,1,1,0
11,1,0,0,0,1,1,0
12,1,0,0,0,1,1,0
13,1,0,0,0,1,1,0
14,1,0,0,0,1,1,0
15,1,0,0,0,1,1,0
16,1,0,0,0,1,1,0
17,1,0,0,0,1,1,0
18,1,0,0,0,1,1,0
19,1,0,0,0,1,1,0
0,2,0,0,0,1,1,0
1,2,0,0,0,1,1,0
2,2,0,0,0,1,1,0
3,2,0,0,0,1,1,0
4,2,0,0,0,1,1,0
5,2,0,0,0,1,1,0
6,2,0,0,0,1,1,0
7,2,0,0,0,1,1,0
8,2,0,0,0,1,1,0
9,2,0,0,0,1,1,0
10,2,0,0,0,1,1,0
11,2,0,0,0,1,1,0
12,2,0,0,0,1,1,0
13,2,0,0,0,1,1,0
14,2,0,0,0,1,1,0
15,2,0,0,0,1,1,0
16,2,0,0,0,1,1,0
17,2,0,0,0,1,1,0
18,2,0,0,0,1,1,0
19,2,0,0,0,1,1,0
0,3,0,0,0,1,1,0
1,3,0,0,0,1,1,0
2,3,0,0,0,1,1,0
3,3,0,0,0,1,1,0
4,3,0,0,0,1,1,0
5,3,0,0,0,1,1,0
6,3,0,0,0,1,1,0
7,3,0,0,0,1,1,0
8,3,0,0,0,1,1,0
9,3,0,0,0,1,1,0
10,3,0,0,0,1,1,0
11,3,0,0,0,1,1,0
12,3,0,0,0,1,1,0
13,3,0,0,0,1,1,0
14,3,0,0,0,1,1,0
15,3,0,0,0,1,1,0
16,3,0,0,0,1,1,0
17,3,0,0,0,1,1,0
18,3,0,0,0,1,1,0
19,3,0,0,0,1,1,0
0,4,0,0,0,1,1,0
1,4,0,0,0,1,1,0
2,4,0,0,0,1,1,0
3,4,0,0,0,1,1,0
4,4,0,0,0,1,1,0
5,4,0,0,0,1,1,0
6,4,0,0,0,1,1,0
7,4,0,0,0,1,1,0
8,4,0,0,0,1,1,0
9,4,0,0,0,1,1,0
10,4,0,0,0,1,1,0
11,4,0,0,0,1,1,0
12,4,0,0,0,1,1,0
13,4,0,0,0,1,1,0
14,4,0,0,0,1,1,0
15,4,0,0,0,1,1,0
16,4,0,0,0,1,1,0
17,4,0,0,0,1,1,0
18,4,0,0,0,1,1,0
19,4,0,0,0,1,1,0
0,5,0,0,0,1,1,0
1,5,0,0,0,1,1,0
2,5,0,0,0,1,1,0
3,5,0,0,0,1,1,0
4,5,0,0,0,1,1,0
5,5,0,0,0,1,1,0
6,5,0,0,0,1,1,0
7,5,0,0,0,1,1,0
8,5,0,0,0,1,1,0
9,5,0,0,0,1,1,0
10,5,0,0,0,1,1,0
11,5,0,0,0,1,1,0
12,5,0,0,0,1,1,0
13,5,0,0,0,1,1,0
14,5,0,0,0,1,1,0
15,5,0,0,0,1,1,0
16,5,0,0,0,1,1,0
17,5,0,0,0,1,1,0
18,5,0,0,0,1,1,0
19,5,0,0,0,1,1,0
0,6,0,0,0,1,1,0
1,6,0,0,0,1,1,0
2,6,0,0,0,1,1,0
3,6,0,0,0,1,1,0
4,6,0,0,0,1,1,0
5,6,0,0,0,1,1,0
6,6,0,0,0,1,1,0
7,6,0,0,0,1,1,0
8,6,0,-0.32236,0.765334,0.55709,0.3607,2
9,6,0,-0.879219,-0.425471,-0.214356,0.350528,2
10,6,0,0.99171,-0.126772,0.0209608,0.427914,2
11,6,0,-0.447234,-0.136396,-0.883956,0.428848,2
12,6,0,0.687737,-0.705426,0.17144,0.350898,2
13,6,0,0,0,1,1,0
14,6,0,0,0,1,1,0
15,6,0,0,0,1,1,0
16,6,0,0,0,1,1,0
17,6,0,0,0,1,1,0
18,6,0,0,0,1,1,0
19,6,0,0,0,1,1,0
0,7,0,0,0,1,1,0
1,7,0,0,0,1,1,0
2,7,0,0,0,1,1,0
3,7,0,0,0,1,1,0
4,7,0,0,0,1,1,0
5,7,0,0,0,1,1,0
6,7,0,0,0,1,1,0
7,7,0,-0.157004,0.193054,0.968545,0.43489,2
8,7,0,-0.586631,0.258937,0.767343,0.432003,2
9,7,0,-0.219556,0.861308,0.458196,0.314012,2
10,7,0,0.886662,-0.00503592,-0.462391,0.318224,2
11,7,0,-0.864892,0.367223,-0.342212,0.410709,2
12,7,0,-0.631421,0.658713,0.409151,0.360148,2
13,7,0,-0.28205,-0.803573,0.524136,0.486217,2
14,7,0,0,0,1,1,0
15,7,0,0,0,1,1,0
16,7,0,0,0,1,1,0
17,7,0,0,0,1,1,0
18,7,0,0,0,1,1,0
19,7,0,0,0,1,1,0
0,8,0,0,0,1,1,0
1,8,0,0,0,1,1,0
2,8,0,0,0,1,1,0
3,8,0,0,0,1,1,0
4,8,0,0,0,1,1,0
5,8,0,0,0,1,1,0
6,8,0,0.319518,0.599757,-0.733621,0.368318,2
7,8,0,-0.518976,0.19212,-0.832919,0.32164,2
8,8,0,-0.841792,0.507131,-0.184944,0.253421,2
9,8,0,-0.372232,0.729434,0.573907,0.411528,2
10,8,0,0.00286331,-0.958628,0.284646,0.562013,2
11,8,0,0.271858,-0.745621,-0.608394,0.417378,2
