T S varS E varE
0.84 0.0677293 1.15037e-05 -6.19329 -7.62939e-06
0.83 0.0667121 1.27316e-05 -6.2199 1.90735e-05
0.82 0.0752217 9.357e-06 -6.24743 5.34058e-05
0.81 0.0716426 8.29995e-06 -6.27441 0.000175476
0.8 0.0759691 1.38283e-05 -6.30032 5.72205e-05
0.79 0.0801432 8.72742e-06 -6.32675 8.7738e-05
0.78 0.0764511 1.51214e-05 -6.35248 -3.8147e-06
0.77 0.0795706 5.83287e-06 -6.37894 5.34058e-05
0.76 0.075817 4.91878e-06 -6.40386 -3.8147e-05
0.75 0.0736921 1.83769e-05 -6.42917 8.7738e-05
0.74 0.0761537 6.49737e-06 -6.45433 3.8147e-05
0.73 0.0677023 5.19957e-06 -6.47931 -3.05176e-05
0.72 0.0736475 6.97281e-06 -6.50469 -2.67029e-05
0.71 0.069157 1.1507e-05 -6.52927 6.10352e-05
0.7 0.0727449 5.47525e-06 -6.55365 -7.62939e-06
0.69 0.0755342 4.82984e-06 -6.57907 8.7738e-05
0.68 0.0742163 4.17139e-06 -6.60325 1.14441e-05
0.67 0.0749881 6.19702e-06 -6.6268 3.05176e-05
0.66 0.074333 4.47007e-05 -6.65142 1.90735e-05
0.65 0.0717966 3.86313e-06 -6.67504 -2.28882e-05
0.64 0.0720484 1.01253e-05 -6.69864 0.000141144
0.63 0.0770724 3.01749e-06 -6.72302 -3.8147e-06
0.62 0.0717313 3.60375e-06 -6.74654 4.19617e-05
0.61 0.0695639 8.39541e-06 -6.76891 7.62939e-05
0.6 0.068481 3.42731e-05 -6.7923 7.62939e-05
0.59 0.0759767 7.26059e-06 -6.8154 -2.67029e-05
0.58 0.0742042 5.51855e-06 -6.83956 3.43323e-05
0.57 0.0702781 1.00271e-05 -6.8619 3.05176e-05
0.56 0.0688654 1.31223e-06 -6.88462 5.34058e-05
0.55 0.084148 5.86594e-06 -6.9077 0.000110626
0.54 0.0721411 5.36442e-06 -6.93015 6.86646e-05
0.53 0.0732784 1.24606e-05 -6.9536 3.05176e-05
0.52 0.0741828 7.96514e-06 -6.9753 -1.14441e-05
0.51 0.0716243 1.35037e-05 -6.99864 -1.90735e-05
0.5 0.0758514 8.53138e-06 -7.0207 -1.14441e-05
0.49 0.0742123 1.28006e-05 -7.04291 -3.43323e-05
0.48 0.0643929 1.75554e-05 -7.06437 -2.28882e-05
0.47 0.0785734 7.14138e-06 -7.08688 -4.19617e-05
0.46 0.0746264 4.26872e-06 -7.10877 -4.19617e-05
0.45 0.0705674 3.15858e-06 -7.13121 3.8147e-06
0.44 0.0763001 3.03052e-06 -7.15286 6.48499e-05
0.43 0.0707464 4.95417e-06 -7.17414 -6.86646e-05
0.42 0.0673942 7.60518e-06 -7.19653 5.72205e-05
0.41 0.0694373 1.74996e-06 -7.2176 0.000102997
0.4 0.0668145 2.82843e-06 -7.2394 -6.48499e-05
0.39 0.0664961 4.15556e-06 -7.26084 4.57764e-05
0.38 0.0751662 1.07707e-05 -7.28183 -1.14441e-05
0.37 0.0688614 6.1742e-06 -7.30361 -8.01086e-05
0.36 0.0710524 5.86547e-06 -7.32452 -3.43323e-05
0.35 0.071481 4.02285e-06 -7.3457 1.14441e-05
0.34 0.068321 1.12043e-05 -7.36709 -1.52588e-05
0.33 0.0729111 4.40143e-06 -7.38828 0
0.32 0.0677991 3.50177e-06 -7.40954 0.000114441
0.31 0.0739387 1.013e-05 -7.4304 -7.62939e-06
0.3 0.0748007 2.45264e-06 -7.45086 -5.34058e-05
0.29 0.0729518 2.09594e-06 -7.47198 4.19617e-05
0.280001 0.0734101 4.05777e-06 -7.49212 3.8147e-05
0.270001 0.0701166 6.98818e-06 -7.51364 2.67029e-05
0.260001 0.0685449 4.99375e-06 -7.53395 -1.14441e-05
0.250001 0.0737427 2.63844e-06 -7.55439 -5.34058e-05
0.240001 0.0735671 9.40636e-06 -7.57522 -3.05176e-05
0.230001 0.0763869 2.38465e-06 -7.59559 0
0.220001 0.0771158 2.00979e-06 -7.61579 3.8147e-06
0.210001 0.0782798 6.01634e-06 -7.63659 7.24792e-05
0.200001 0.0750947 1.85193e-06 -7.65692 -9.53674e-05
0.190001 0.0755629 1.70944e-06 -7.67693 -8.01086e-05
0.18 0.0750334 2.54484e-06 -7.69732 1.52588e-05
0.17 0.0722419 1.54134e-06 -7.71758 -1.90735e-05
0.16 0.0722854 6.16536e-07 -7.73745 3.05176e-05
0.15 0.075668 6.08061e-06 -7.75747 -7.62939e-06
0.14 0.073997 1.8701e-06 -7.77765 8.39233e-05
0.13 0.0745559 1.23866e-06 -7.79761 7.62939e-06
0.12 0.0747812 2.10525e-06 -7.81766 -3.05176e-05
0.11 0.0752745 1.45473e-06 -7.83746 -6.86646e-05
0.1 0.0739917 8.84291e-07 -7.85738 2.28882e-05
0.0900005 0.0754454 9.42964e-07 -7.87714 2.28882e-05
0.0800005 0.0768879 2.66358e-07 -7.89702 -3.43323e-05
0.0700005 0.0794917 3.00165e-06 -7.9166 -3.8147e-06
0.0600005 0.0766353 5.81611e-07 -7.93636 1.90735e-05
0.0500005 0.0752669 8.54954e-07 -7.95579 -4.19617e-05
0.0400005 0.0779092 5.4948e-07 -7.97538 0.000110626
0.0300005 0.0776981 1.46544e-06 -7.99498 6.48499e-05
0.0200005 0.0763011 1.31782e-07 -8.01445 7.62939e-06
0.0100005 0.076756 6.47269e-08 -8.03389 0.000167847
4.91738e-07 0.0767379 7.35745e-08 -8.05331 7.62939e-06
