T S varS E varE
1.3 0.0343936 0.000141957 -1.21629 0.00137031
1.25 0.0411933 0.000242019 -1.30783 0.00131691
1.2 0.0492015 0.000288244 -1.42874 0.00207877
1.15 0.0871148 0.00122841 -1.59455 0.00432062
1.1 0.437844 0.000542685 -2.38896 0.00445032
1.05 0.534375 0.000344932 -2.839 0.00445747
1 0.611359 0.000155002 -3.18606 0.00291348
0.95 0.643369 0.000166476 -3.4524 0.00231457
0.9 0.696091 5.39124e-05 -3.68203 0.0013485
0.85 0.717621 6.49691e-05 -3.87522 0.00118065
0.8 0.752023 4.85182e-05 -4.06024 0.00106049
0.75 0.769953 2.56896e-05 -4.21811 0.0007267
0.7 0.79398 2.14577e-05 -4.37533 0.000825882
0.65 0.809451 3.02792e-05 -4.51448 0.000665665
0.6 0.828648 4.64916e-05 -4.65164 0.000514984
0.55 0.849052 1.2517e-05 -4.78511 0.000335693
0.5 0.863918 1.74642e-05 -4.90644 0.00030899
